!x(deg/Myr) y(deg/Myr) z(deg/Myr)
7.45932e-01 3.59688e-01 7.62131e-01
1.33365e+00 7.40964e-01 1.33474e+00
1.28160e+00 7.14580e-01 1.29334e+00
1.03411e+00 5.40985e-01 1.03522e+00
1.09908e+00 5.96823e-01 1.10197e+00
1.29813e+00 7.35225e-01 1.30514e+00
9.24075e-01 4.91651e-01 9.44189e-01
7.65272e-01 3.68733e-01 7.97101e-01
1.04240e+00 5.54212e-01 1.05503e+00
1.05223e+00 5.78651e-01 1.07620e+00
1.28078e+00 7.14479e-01 1.27965e+00
1.05530e+00 5.72004e-01 1.07299e+00
7.23283e-01 3.58321e-01 7.37740e-01
1.16165e+00 6.40201e-01 1.17664e+00
8.16519e-01 4.09833e-01 8.31404e-01
1.30829e+00 7.27969e-01 1.31830e+00
8.28219e-01 4.17634e-01 8.52294e-01
1.11378e+00 6.05565e-01 1.13398e+00
1.13009e+00 6.17444e-01 1.14157e+00
1.16159e+00 6.45059e-01 1.18145e+00
1.09255e+00 5.96785e-01 1.09881e+00
1.01198e+00 5.37472e-01 1.02214e+00
1.12510e+00 6.06430e-01 1.12767e+00
1.12251e+00 6.04964e-01 1.11609e+00
9.53867e-01 5.09467e-01 9.72820e-01
1.17604e+00 6.46007e-01 1.17138e+00
1.08366e+00 5.84818e-01 1.09023e+00
8.88176e-01 4.59723e-01 9.00147e-01
1.27922e+00 7.19031e-01 1.28698e+00
1.17180e+00 6.45718e-01 1.17138e+00
1.22828e+00 6.81758e-01 1.22522e+00
1.27376e+00 7.16251e-01 1.29207e+00
1.39034e+00 8.04480e-01 1.40300e+00
1.13306e+00 6.16788e-01 1.15030e+00
1.03986e+00 5.61374e-01 1.07036e+00
9.63228e-01 5.07340e-01 9.87652e-01
1.24284e+00 6.92989e-01 1.26228e+00
1.16683e+00 6.35314e-01 1.18308e+00
1.21997e+00 6.82411e-01 1.24186e+00
