1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
7165,16.4239,2.51117,0.228424
7166,16.4239,2.51117,0.228424
7167,29.2227,28.94,0.369415
7168,29.2227,28.94,0.369415
7169,16.4239,2.51117,0.228424
7170,16.4239,2.51117,0.228424
7171,16.4239,2.51117,0.228424
7172,30.051,20.0203,0.442723
7173,30.3708,24.9213,0.389024
7174,16.4239,2.51117,0.228424
7175,16.4239,2.51117,0.228424
7176,16.4239,2.51117,0.228424
7177,30.2166,22.8409,0.395221
7178,29.1791,12.3558,0.574335
7182,29.1791,12.3558,0.574335
7183,29.1791,12.3558,0.574335
7184,16.4239,2.51117,0.228424
7185,16.4239,2.51117,0.228424
7186,16.4239,2.51117,0.228424
7188,16.3815,-18.0451,0.173506
7189,41.7873,-31.3599,0.103484
7190,21.1011,0.0127881,0.354488
7191,29.1791,12.3558,0.574335
7192,-5.61804,-71.4493,0.450387
7193,25.6594,21.2834,0.485771
7194,-16.7755,-82.3598,0.681703
7197,29.4911,25.4129,0.415365
7199,29.3137,25.0617,0.407098
7201,29.2227,28.94,0.369415
7203,30.3708,24.9213,0.389024
7204,30.2166,22.8409,0.395221
7209,16.4239,2.51117,0.228424
7220,16.4239,2.51117,0.228424
7224,41.7873,-31.3599,0.103484
7225,16.4239,2.51117,0.228424
7226,16.4239,2.51117,0.228424
7227,16.4239,2.51117,0.228424
7230,36.6203,-0.841081,0.534597
7233,24.2374,22.9161,0.61597
7234,45.4744,-12.3904,0.384547
7235,42.61,-9.61019,0.3959
7236,6.27494,-51.225,0.432743
7237,6.27494,-51.225,0.432743
7238,41.7873,-31.3599,0.103484
7239,18.7658,4.79375,0.210789
7240,31.1515,-15.9186,0.163591
7241,-25.8265,-75.7758,1.56538
7242,41.7873,-31.3599,0.103484
7243,41.7873,-31.3599,0.103484
7244,35.4278,86.4166,0.678285
7245,41.7873,-31.3599,0.103484
7246,41.7873,-31.3599,0.103484
7247,41.7873,-31.3599,0.103484
7248,41.7873,-31.3599,0.103484
